BRIDGE NAME,EASTING,NORTHING,OWNER
ASHCOMBE BRIDGE,291342,79583,Devon County Council
ASHWELL,287847,78372,Devon County Council
BABELS,293731,84858,Devon County Council
BAGLEY WOOD BRIDGE,272284,73126,Devon County Council
BEADON BRIDGE,281763,81885,Devon County Council
BECKAFORD BRIDGE,275622,79951,Devon County Council
BELWORTHY FIDLERS,292363,78782,Devon County Council
BENEDICTS,281736,74595,Devon County Council
BINNEY BRIDGE,281199,76426,Devon County Council
BLACKATON BRIDGE (LOWER),269570,77830,Devon County Council
BLACKATON BRIDGE,269786,77921,Devon County Council
BLACKPOOL CULVERT,281527,74381,Devon County Council
BOTTLE BRIDGE,287031,80104,Devon County Council
BOW BRIDGE,279439,72584,Devon County Council
BRIDGE LAND BRIDGE,287107,79306,Devon County Council
BRIMLEY STILE BRIDGE,287939,79934,Devon County Council
BRINNING BRIDGE,275278,85600,Devon County Council
BROOKFIELD BRIDGE,278779,81448,Devon County Council
BROOKSIDE GARAGE,285222,92947,Devon County Council
CHRISTOW,283916,86568,Devon County Council
CLAPHAM,289714,86903,Devon County Council
CLAPPER BRIDGE (LUSTLEIGH),275324,82833,Devon County Council
CLAPPER BRIDGE (MANATON),275297,82796,Devon County Council
CLIFFORD BRIDGE,278093,89774,Devon County Council
COCKINGFORD BRIDGE,271698,75064,Devon County Council
COLLEYBROOK BRIDGE,289376,77207,Devon County Council
CRAMMERS BRIDGE,288125,80884,Devon County Council
CROCOMBE BRIDGE,284829,81171,Devon County Council
CUTTERIDGE GATE,288408,92640,Devon County Council
DRAKEFORD BRIDGE,278952,80126,Devon County Council
DRAKEFORD CULVERT,278953,80101,Devon County Council
DUNCHIDEOCK,288334,87747,Devon County Council
DYMONDS,286712,92865,Devon County Council
FAIRBROOK BRIDGE,274040,83626,Devon County Council
FAIRBROOK (LITTLE) BRIDGE,274072,83606,Devon County Council
GREAT BRIDGE,275379,70261,Devon County Council
GREAT HUISH,282828,93724,Devon County Council
GREAT MARSH BRIDGE,283966,82360,Devon County Council
GRENDON BRIDGE,268804,78516,Devon County Council
HALFORD BRIDGE,281211,74582,Devon County Council
HAYNE MILL BRIDGE,274997,80894,Devon County Council
HENNIFORD BRIDGE,288240,87855,Devon County Council
HIGHER BROOK BRIDGE,280090,91713,Devon County Council
HILL FARM BRIDGE,280789,74139,Devon County Council
HOLNE (OLD),273014,70586,Devon County Council
HURSTON LODGE,288199,92692,Devon County Council
ISAFORD CULVERT,272475,79260,Devon County Council
KENN (VILLAGE) BRIDGE,292204,85576,Devon County Council
KENNFORD BRIDGE,291587,86485,Devon County Council
LANGDON BARTON BRIDGE,292959,79143,Devon County Council
LENTHILL,273441,70488,Devon County Council
LILLY BROOK BRIDGE,282214,94321,Devon County Council
LIVERTON BRIDGE,280282,75173,Devon County Council
LOUNSTON CATTLE CREEP,279085,75137,Devon County Council
LOWER ASHTON BRIDGE,285403,84653,Devon County Council
LOWER SIGFORD BRIDGE,277613,73783,Devon County Council
MILLBROOK BRIDGE,275580,86243,Devon County Council
MILL CROSS OLD BRIDGE,281634,71916,Devon County Council
NADDERWATER BRIDGE,289118,93457,Devon County Council
NEW BRIDGE (CHUDLEIGH KNTN),284884,76434,Devon County Council
NEW BRIDGE (HOLNE),271147,70881,Devon County Council
NORTHWAY BRIDGE,272120,76823,Devon County Council
OWLACOMBE BRIDGE,277163,73604,Devon County Council
PACKSADDLE BRIDGE,278909,80245,Devon County Council
PAINTERS BRIDGE,297469,83178,Devon County Council
PENN WOOD BRIDGE,280740,74814,Devon County Council
PONSWORTHY BRIDGE,270125,73887,Devon County Council
PUDSHAM DOWN BRIDGE,273478,74622,Devon County Council
REEDY,281989,89277,Devon County Council
RENTOR,280224,71971,Devon County Council
RUNNAGE,266839,78890,Devon County Council
RUSHLADE,274470,73806,Devon County Council
SCOTLEY,277729,90075,Devon County Council
SIGFORD BRIDGE (EAST),277827,73964,Devon County Council
SOUTHBROOK,272454,73062,Devon County Council
SPARA BRIDGE,284350,84076,Devon County Council
STAG COTTAGE,294254,83289,Devon County Council
WADLEY BRIDGE,274788,85613,Devon County Council
WAYBROOK BRIDGE,291938,88960,Devon County Council
WESTWATER,280754,94030,Devon County Council
WHITEWAY,287988,82026,Devon County Council
WOLVEN LANE WRAY BRIDGE,276929,84595,Devon County Council
WOODER,272096,77783,Devon County Council
WOODHOUSE,279241,76268,Devon County Council
WRIGWELL,281162,71080,Devon County Council
BABENY,267294,75141,Devon County Council
BABENY (LITTLE) BRIDGE,267360,75046,Devon County Council
BAGTOR,276903,75553,Devon County Council
BARNSEY,275486,70497,Devon County Council
BISWELL,289116,91439,Devon County Council
BONEHILL BRIDGE,272171,77143,Devon County Council
BOVEY BRIDGE (BLACK ALLER),273764,83732,Devon County Council
BOVEY (LITTLE) BRIDGE,273755,83724,Devon County Council
BRAMBLE BRIDGE,286680,81980,Devon County Council
BROADAFORD BRIDGE,269497,76539,Devon County Council
BROADAFORD FARM BRIDGE,269318,76210,Devon County Council
BUCKLAND BRIDGE,271880,71948,Devon County Council
CASELEY,278569,82260,Devon County Council
CASELEY RAILWAY BRIDGE,278562,82247,Devon County Council
CHIPLEY BRIDGE,281081,71904,Devon County Council
CHILVERSTONE COTTAGE,294703,83858,Devon County Council
CHURCH BRIDGE (TEDBURN),281045,94501,Devon County Council
